time,avg_generation solar,avg_generation wind onshore,avg_total load actual,max_generation solar,max_generation wind onshore,max_total load actual
2015-05-31,2334.8333333333335,2534.2083333333335,23437.166666666668,5270.0,4012.0,27282.0
2015-06-01,637.6666666666666,3038.0,25539.958333333332,2306.0,9460.0,31077.0
2015-06-02,1232.8333333333333,8397.125,34078.0,4137.0,9853.0,39398.0
2015-06-03,2092.8333333333335,3999.125,29574.916666666668,5443.0,7541.0,34471.0
2015-06-04,1108.625,6264.708333333333,24208.125,2921.0,8668.0,29240.0
2015-06-05,2368.8333333333335,2452.5833333333335,28085.875,5552.0,5982.0,31659.0
2015-06-06,2301.0416666666665,5605.833333333333,26690.166666666668,4978.0,7729.0,30115.0
2015-06-07,2312.375,4006.625,32821.458333333336,5168.0,6220.0,38841.0
2015-06-08,1715.9166666666667,2792.4583333333335,30546.291666666668,4263.0,4794.0,36164.0
2015-06-09,1325.0833333333333,4204.625,23019.0,3913.0,12660.0,27298.0
2015-06-10,977.625,10936.75,28462.416666666668,3185.0,13491.0,32656.0
2015-06-11,1338.4166666666667,3710.9583333333335,28166.5,4176.0,4541.0,32292.0
2015-06-12,808.75,3930.5,25324.916666666668,3001.0,6278.0,29709.0
2015-06-13,1455.0,3517.0,25098.041666666668,3445.0,6337.0,28518.0
2015-06-14,1126.0416666666667,2755.375,22987.541666666668,3105.0,3959.0,26833.0
2015-06-15,1139.8260869565217,3716.6521739130435,27505.75,3054.0,5175.0,31940.0
2015-06-16,2222.25,5657.583333333333,27773.791666666668,4777.0,7112.0,31466.0
2015-06-17,2624.125,8059.125,28127.208333333332,5334.0,9286.0,32017.0
2015-06-18,2703.0416666666665,7043.833333333333,28594.416666666668,5433.0,8077.0,32461.0
2015-06-19,2670.375,7182.916666666667,29019.5,5422.0,8890.0,33211.0
2015-06-20,2672.2916666666665,5606.291666666667,26426.916666666668,5365.0,8049.0,29909.0
2015-06-21,2348.0833333333335,3252.3333333333335,24451.666666666668,5051.0,5483.0,28662.0
2015-06-22,2185.8333333333335,2542.7083333333335,29549.458333333332,5087.0,4783.0,34369.0
2015-06-23,2385.9166666666665,3402.5416666666665,29290.833333333332,5215.0,7232.0,34068.0
2015-06-24,2477.4583333333335,1812.6666666666667,27675.708333333332,5228.0,3170.0,31232.0
2015-06-25,2574.375,1800.75,29737.958333333332,5356.0,3124.0,34293.0
2015-06-26,2637.9166666666665,2487.7916666666665,30423.0,5397.0,4145.0,35487.0
2015-06-27,2623.3333333333335,2566.1666666666665,28014.25,5348.0,3777.0,31970.0
2015-06-28,2601.375,2454.25,26235.416666666668,5277.0,4818.0,30578.0
2015-06-29,2708.875,3247.4166666666665,31852.583333333332,5267.0,4980.0,36936.0
2015-06-30,2548.0,4763.666666666667,32251.833333333332,4671.0,7197.0,37259.0
2015-07-01,710.9583333333334,1119.5833333333333,32003.208333333332,2614.0,5386.0,38193.0
2015-07-02,698.2083333333334,3638.375,30942.041666666668,2354.0,5122.0,35951.0
2015-07-03,2090.7916666666665,2908.5416666666665,26028.333333333332,5443.0,8022.0,29813.0
2015-07-04,1458.7083333333333,7998.166666666667,27487.125,4025.0,11698.0,32324.0
2015-07-05,2419.125,6212.333333333333,27922.958333333332,5427.0,8170.0,31651.0
2015-07-06,2134.2916666666665,4858.708333333333,24878.5,4825.0,6688.0,30862.0
2015-07-07,2122.6666666666665,3414.7916666666665,33682.958333333336,4592.0,5373.0,39300.0
2015-07-08,1088.7083333333333,4127.5,30723.333333333332,3113.0,8742.0,36506.0
2015-07-09,1173.0833333333333,2983.0,27374.791666666668,3518.0,5280.0,31768.0
2015-07-10,1432.625,2713.8333333333335,27988.416666666668,3958.0,4416.0,32302.0
2015-07-11,1402.2083333333333,3841.125,24924.875,4340.0,6566.0,28119.0
2015-07-12,345.0,6196.333333333333,27004.166666666668,1144.0,7181.0,30713.0
2015-07-13,2587.7083333333335,3439.1666666666665,32500.208333333332,5285.0,5581.0,37955.0
2015-07-14,2562.6666666666665,3982.5,33372.083333333336,5296.0,5852.0,38863.0
2015-07-15,2393.6666666666665,3359.875,33568.5,5191.0,5047.0,38974.0
2015-07-16,2050.25,3766.125,33465.291666666664,4990.0,5692.0,38762.0
2015-07-17,1277.6666666666667,3043.2916666666665,33285.625,3424.0,4099.0,38764.0
2015-07-18,2083.25,4041.9583333333335,29178.958333333332,4967.0,7296.0,33179.0
2015-07-19,2259.9166666666665,2484.875,26734.625,4776.0,2925.0,31428.0
2015-07-20,2445.6666666666665,1702.3333333333333,33284.291666666664,5211.0,2816.0,39361.0
2015-07-21,2415.7916666666665,2838.0416666666665,34077.416666666664,5185.0,5628.0,39928.0
2015-07-22,2461.125,3727.0833333333335,33509.708333333336,5212.0,6460.0,39140.0
2015-07-23,2487.3333333333335,2575.375,33479.791666666664,5224.0,4557.0,38945.0
2015-07-24,2488.0,5806.333333333333,33082.708333333336,5246.0,8605.0,38870.0
2015-07-25,2548.0,4849.25,28267.416666666668,5283.0,7844.0,31686.0
2015-07-26,2501.8333333333335,3956.125,26440.5,5258.0,5698.0,31176.0
2015-07-27,2540.3333333333335,3971.4583333333335,32191.333333333332,5271.0,4966.0,37698.0
2015-07-28,2481.875,3249.7916666666665,32823.208333333336,5190.0,4866.0,37918.0
2015-07-29,2382.5,4005.75,33218.458333333336,5154.0,6998.0,38622.0
2015-07-30,2296.375,6231.208333333333,31974.625,4963.0,7308.0,36824.0
2015-07-31,1846.9166666666667,5482.208333333333,30332.666666666668,4183.0,8163.0,35449.0
2015-08-01,878.5,2688.7916666666665,32754.833333333332,3199.0,5212.0,38551.0
