time,generation solar
2015-04-21 00:00:00+00:00,2917.6153846153848
2015-04-22 00:00:00+00:00,2719.4615384615386
2015-04-23 00:00:00+00:00,3463.076923076923
2015-04-24 00:00:00+00:00,1699.7692307692307
2015-04-25 00:00:00+00:00,1192.923076923077
2015-04-26 00:00:00+00:00,1185.4615384615386
2015-04-27 00:00:00+00:00,1988.0
2015-04-28 00:00:00+00:00,3564.153846153846
2015-04-29 00:00:00+00:00,3793.153846153846
2015-04-30 00:00:00+00:00,3823.3076923076924
2015-05-01 00:00:00+00:00,1809.1538461538462
2015-05-02 00:00:00+00:00,2364.5384615384614
2015-05-03 00:00:00+00:00,3277.4615384615386
2015-05-04 00:00:00+00:00,3345.4615384615386
2015-05-05 00:00:00+00:00,2480.076923076923
2015-05-06 00:00:00+00:00,4102.0
2015-05-07 00:00:00+00:00,3759.5384615384614
2015-05-08 00:00:00+00:00,3777.3846153846152
2015-05-09 00:00:00+00:00,1697.3076923076924
2015-05-10 00:00:00+00:00,718.4615384615385
2015-05-11 00:00:00+00:00,1277.3846153846155
2015-05-12 00:00:00+00:00,1645.6153846153845
2015-05-13 00:00:00+00:00,2695.3846153846152
2015-05-14 00:00:00+00:00,3240.923076923077
2015-05-15 00:00:00+00:00,4105.307692307692
2015-05-16 00:00:00+00:00,4190.692307692308
2015-05-17 00:00:00+00:00,4284.538461538462
2015-05-18 00:00:00+00:00,3648.769230769231
2015-05-19 00:00:00+00:00,3223.769230769231
2015-05-20 00:00:00+00:00,3714.230769230769
2015-05-21 00:00:00+00:00,3968.153846153846
2015-05-22 00:00:00+00:00,4027.846153846154
2015-05-23 00:00:00+00:00,4004.0
2015-05-24 00:00:00+00:00,2646.230769230769
2015-05-25 00:00:00+00:00,3134.0
2015-05-26 00:00:00+00:00,4018.4615384615386
2015-05-27 00:00:00+00:00,4195.153846153846
2015-05-28 00:00:00+00:00,4014.153846153846
2015-05-29 00:00:00+00:00,2851.5384615384614
2015-05-30 00:00:00+00:00,3653.4615384615386
2015-05-31 00:00:00+00:00,3889.6923076923076
2015-06-01 00:00:00+00:00,1139.923076923077
2015-06-02 00:00:00+00:00,2121.923076923077
2015-06-03 00:00:00+00:00,3632.846153846154
2015-06-04 00:00:00+00:00,1915.076923076923
2015-06-05 00:00:00+00:00,4029.230769230769
2015-06-06 00:00:00+00:00,3668.230769230769
2015-06-07 00:00:00+00:00,3870.6923076923076
2015-06-08 00:00:00+00:00,2888.6153846153848
2015-06-09 00:00:00+00:00,2354.5384615384614
2015-06-10 00:00:00+00:00,1756.5384615384614
2015-06-11 00:00:00+00:00,2429.5384615384614
2015-06-12 00:00:00+00:00,1450.8461538461538
2015-06-13 00:00:00+00:00,2484.0
2015-06-14 00:00:00+00:00,1977.3076923076924
2015-06-15 00:00:00+00:00,2032.0
2015-06-16 00:00:00+00:00,3722.6153846153848
2015-06-17 00:00:00+00:00,4253.461538461538
2015-06-18 00:00:00+00:00,4327.923076923077
2015-06-19 00:00:00+00:00,4289.307692307692
2015-06-20 00:00:00+00:00,4312.307692307692
